class,occurrences,candidate_group,page_only_candidate
.td-counter-value,2,counter-value,review
.td-cron,2,cron,review
.td-cron-status,5,cron-status,review
.td-cron-status-dot,3,cron-status,review
.td-cron-task,2,cron-task,review
.td-cron-time,1,cron-time,review
.td-cta,21,cta,review
.td-cta--lg,1,cta-,review
.td-cta--sm,1,cta-,review
.td-cta-arrow,2,cta-arrow,review
.td-cta-banner,2,cta-banner,review
.td-cta-banner-actions,1,cta-banner,review
.td-cta-banner-btn,1,cta-banner,review
.td-cta-banner-btn--ghost,1,cta-banner,review
.td-cta-banner-sub,1,cta-banner,review
.td-cta-banner-title,1,cta-banner,review
.td-cta-icon,1,cta-icon,review
.td-curtain,2,curtain,review
.td-curtain-body,2,curtain-body,review
.td-curtain-eyebrow,1,curtain-eyebrow,review
.td-curtain-text,1,curtain-text,review
.td-curtain-title,1,curtain-title,review
.td-custcard,1,custcard,review
.td-custcard-avatar,1,custcard-avatar,review
.td-custcard-co,1,custcard-co,review
.td-custcard-head,1,custcard-head,review
.td-custcard-info,1,custcard-info,review
.td-custcard-name,1,custcard-name,review
.td-custcard-stat,1,custcard-stat,review
.td-custcard-stat-l,1,custcard-stat,review
.td-custcard-stat-v,1,custcard-stat,review
.td-custcard-stats,2,custcard-stats,review
.td-custcard-tier,1,custcard-tier,review
.td-custtime,1,custtime,review
.td-custtime-body,1,custtime-body,review
.td-custtime-icon,1,custtime-icon,review
.td-custtime-icon--accent,1,custtime-icon,review
.td-custtime-icon--brand,1,custtime-icon,review
.td-custtime-icon--green,1,custtime-icon,review
.td-custtime-icon--ink,1,custtime-icon,review
.td-custtime-item,2,custtime-item,review
.td-custtime-text,2,custtime-text,review
.td-custtime-time,1,custtime-time,review
.td-data-list,1,data-list,review
.td-data-list-label,2,data-list,review
.td-data-list-meta,2,data-list,review
.td-data-list-row,8,data-list,review
.td-data-list-value,1,data-list,review
.td-daterange,3,daterange,review
.td-daterange-arrow,1,daterange-arrow,review
.td-daterange-quick,3,daterange-quick,review
.td-desktop-only,1,desktop-only,review
.td-diff,1,diff,review
.td-diff-line,1,diff-line,review
.td-diff-line--add,1,diff-line,review
.td-diff-line--ctx,1,diff-line,review
.td-diff-line--del,1,diff-line,review
.td-diff-line--meta,1,diff-line,review
.td-diff-mark,1,diff-mark,review
.td-disclose,4,disclose,review
.td-disclose-body,4,disclose-body,review
.td-disclose-chevron,3,disclose-chevron,review
.td-disclose-panel,2,disclose-panel,review
.td-disclose-trigger,3,disclose-trigger,review
.td-display-text,1,display-text,review
.td-dl,3,dl,review
.td-dock,1,dock,review
.td-dock-item,5,dock-item,review
.td-dock-sep,1,dock-sep,review
.td-drawer,2,drawer,review
.td-drfield,3,drfield,review
.td-drfield-label,2,drfield-label,review
.td-drfield-value,1,drfield-value,review
.td-dropdown,4,dropdown,review
.td-dropdown-check,2,dropdown-check,review
.td-dropdown-chevron,2,dropdown-chevron,review
.td-dropdown-item,6,dropdown-item,review
.td-dropdown-item-text,2,dropdown-item,review
.td-dropdown-menu,3,dropdown-menu,review
.td-dropdown-trigger,4,dropdown-trigger,review
.td-dropdown-value,1,dropdown-value,review
.td-dropzone,4,dropzone,review
.td-dropzone-browse,1,dropzone-browse,review
.td-dropzone-icon,1,dropzone-icon,review
.td-dropzone-text,2,dropzone-text,review
.td-dropzone-title,1,dropzone-title,review
.td-drpick,1,drpick,review
.td-drpop,2,drpop,review
.td-drpop-foot,1,drpop-foot,review
.td-drsep,1,drsep,review
.td-drtime,1,drtime,review
.td-drtime-label,1,drtime-label,review
.td-drtime-list,1,drtime-list,review
.td-drtime-opt,3,drtime-opt,review
.td-dualrange,4,dualrange,review
.td-dualrange-fill,1,dualrange-fill,review
.td-dualrange-track,1,dualrange-track,review
.td-dualrange-vals,2,dualrange-vals,review
.td-eg-spark,1,eg-spark,review
.td-eg-table,8,eg-table,review
.td-eg-table-wrap,1,eg-table,review
.td-empty,1,empty,review
.td-empty-art,2,empty-art,review
.td-empty-cta,2,empty-cta,review
.td-empty-text,1,empty-text,review
.td-empty-title,1,empty-title,review
.td-engagement,6,engagement,review
.td-engagement-arrow,4,engagement-arrow,review
.td-engagement-body,1,engagement-body,review
.td-engagement-foot,1,engagement-foot,review
.td-engagement-result,3,engagement-result,review
.td-engagement-sector,1,engagement-sector,review
.td-engagement-summary,1,engagement-summary,review
.td-engagement-title,1,engagement-title,review
.td-engagements,1,engagements,review
.td-eyebrow,2,eyebrow,review
.td-fab,5,fab,review
.td-fab--solid,3,fab-,review
.td-fab-dot,1,fab-dot,review
.td-fabanner,1,fabanner,review
.td-fabanner-body,1,fabanner-body,review
.td-fabanner-close,2,fabanner-close,review
.td-fabanner-cta,2,fabanner-cta,review
.td-fabanner-icon,1,fabanner-icon,review
.td-fabanner-sub,1,fabanner-sub,review
.td-fabanner-title,1,fabanner-title,review
.td-facet,5,facet,review
.td-facet-btn,6,facet-btn,review
.td-facet-caret,2,facet-caret,review
.td-facet-count,1,facet-count,review
.td-facet-foot,1,facet-foot,review
.td-facet-group,4,facet-group,review
.td-facet-list,3,facet-list,review
.td-facet-opt,7,facet-opt,review
.td-facet-opt-body,1,facet-opt,review
.td-facet-opt-count,1,facet-opt,review
.td-facet-opt-hint,1,facet-opt,review
.td-facet-opt-label,2,facet-opt,review
.td-facet-panel,2,facet-panel,review
.td-facet-selected,1,facet-selected,review
.td-faceted,1,faceted,review
.td-faceted-count,2,faceted-count,review
.td-faceted-facets,1,faceted-facets,review
.td-faceted-group,1,faceted-group,review
.td-faceted-item,5,faceted-item,review
.td-faceted-label,1,faceted-label,review
.td-faceted-result,4,faceted-result,review
.td-faceted-results,1,faceted-results,review
.td-faq,1,faq,review
.td-faq--marketing,6,faq-,review
